time,title,introduce
1994,肖申克的救赎,希望让人自由
1993,霸王别姬,风华绝代
1994,阿甘正传,一部美国近现代史
1997,泰坦尼克号,失去的才是永恒的 
1994,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事
1997,美丽人生,最美的谎言
2001,千与千寻,最好的宫崎骏最好的久石让 
1993,辛德勒的名单,拯救一个人就是拯救整个世界
2014,星际穿越,爱是一种力量让我们超越时空感知它的存在
2010,盗梦空间,诺兰给了我们一场无法盗取的梦
1998,楚门的世界,如果再也不能见到你祝你早安午安晚安
2009,忠犬八公的故事,永远都不能忘记你所爱的人
1998,海上钢琴师,每个人都要走一条自己坚定了的路就算是粉身碎骨 
2009,三傻大闹宝莱坞,英俊版憨豆高情商版谢耳朵
2004,放牛班的春天,天籁一般的童声是最接近上帝的存在 
2008,机器人总动员,小瓦力大人生
2002,无间道,香港电影史上永不过时的杰作
2016,疯狂动物城,迪士尼给我们营造的乌托邦就是这样永远善良勇敢永远出乎意料
1957,控方证人,比利怀德满分作品
1995,大话西游之大圣娶亲,一生所爱
2011,熔炉,我们一路奋战不是为了改变世界而是为了不让世界改变我们
1972,教父,千万不要记恨你的对手这样会让你失去理智
2006,当幸福来敲门,平民励志片 
2011,触不可及,满满温情的高雅喜剧
2010,怦然心动,真正的幸福是来自内心深处
1988,龙猫,人人心中都有个龙猫童年就永远不会消失
1987,末代皇帝,不要跟我比惨我比你更惨再适合这部电影不过了
2017,寻梦环游记,死亡不是真的逝去遗忘才是永恒的消亡
1994,活着,张艺谋最好的电影
2008,蝙蝠侠黑暗骑士,无尽的黑暗
2001,哈利波特与魔法石,童话世界的开端
2003,指环王3王者无敌,史诗的终章
1939,乱世佳人,Tomorrow is another day
2018,我不是药神,对我们国家而言这样的电影多一部是一部
2013,素媛,受过伤害的人总是笑得最开心因为他们不愿意让身边的人承受一样的痛苦
2009,飞屋环游记,最后那些最无聊的事情才是最值得怀念的 
1957,十二怒汉,1957年的理想主义 
2018,何以为家,凝视卑弱生命用电影改变命运
2004,哈尔的移动城堡,带着心爱的人在天空飞翔
2016,摔跤吧爸爸,你不是在为你一个人战斗你要让千千万万的女性看到女生并不是只能相夫教子
2000,鬼子来了,对敌人的仁慈就是对自己残忍
2010,让子弹飞,你给我翻译翻译神马叫做TMD的惊喜
2012,少年派的奇幻漂流,瑰丽壮观无人能及的冒险之旅
2002,猫鼠游戏,骗子大师和执著警探的你追我跑故事 
2015,海蒂和爷爷,如果生活中有什么使你感到快乐那就去做吧不要管别人说什么
2002,钢琴家,音乐能化解仇恨
1995,大话西游之月光宝盒,旷古烁今
1986,天空之城,对天空的追逐永不停止 
2002,指环王2双塔奇兵,承前启后的史诗篇章
1992,闻香识女人,史上最美的探戈
1988,天堂电影院,那些吻戏那些青春都在影院的黑暗里被泪水冲刷得无比清晰
1953,罗马假日,爱情哪怕只有一天
1989,死亡诗社,当一个死水般的体制内出现一个活跃的变数时所有的腐臭都站在了光明的对面
2018,绿皮书,去除成见需要勇气
1961,大闹天宫,经典之作历久弥新
2001,指环王1护戒使者,传说的开始
1999,黑客帝国,视觉革命
1974,教父2,优雅的孤独
1994,狮子王,动物版哈姆雷特
2013,辩护人,电影的现实意义大过电影本身
1994,饮食男女,人生不能像做菜把所有的料都准备好了才下锅
1999,搏击俱乐部,邪恶与平庸蛰伏于同一个母体在特定的时间互相对峙
2001,美丽心灵,爱是一切逻辑和原由
2008,本杰明巴顿奇事,在时间之河里感受溺水之苦
2008,穿条纹睡衣的男孩,尽管有些不切实际的幻想这部电影依旧是一部感人肺腑的佳作
2006,窃听风暴,别样人生
1995,情书,暗恋的极致
1998,两杆大烟枪,4个臭皮匠顶个诸葛亮盖里奇果然不是盖的
2000,西西里的美丽传说,美丽无罪
1965,音乐之声,用音乐化解仇恨让歌声串起美好
2016,看不见的客人,你以为你以为的就是你以为的
2009,阿凡达,绝对意义上的美轮美奂
1998,拯救大兵瑞恩,美利坚精神输出大片No1
1975,飞越疯人院,自由万岁
1997,小鞋子,奔跑的孩子是天使
2011,哈利波特与死亡圣器下,10年的完美句点
1991,沉默的羔羊,安东尼霍普金斯的顶级表演
2014,布达佩斯大饭店,小清新的故事里注入了大历史的情怀
2010,禁闭岛,昔日翩翩少年今日大腹便便
2004,蝴蝶效应,人的命运被自己瞬间的抉择改变
2006,致命魔术,孪生蝙蝠侠大战克隆金刚狼
2004,功夫,警恶惩奸维护世界和平这个任务就交给你了好吗
2009,海豚湾,海豚的微笑是世界上最高明的伪装
1997,心灵捕手,人生中应该拥有这样的一段豁然开朗
1994,低俗小说,故事的高级讲法
1984,美国往事,往事如烟无处祭奠
1997,春光乍泄,爱情纠缠男女一致
2004,哈利波特与阿兹卡班的囚徒,不一样的导演不一样的哈利波特
1936,摩登时代,大时代中的人生小人物的悲喜
2011,超脱,穷尽一生我们要学会的不过是彼此拥抱
1999,喜剧之王,我是一个演员
2003,致命ID,最不可能的那个人永远是最可能的
1995,七宗罪,警察抓小偷老鼠玩死猫
2003,杀人回忆,关于连环杀人悬案的集体回忆
2006,红辣椒,梦的勾结
2003,加勒比海盗,约翰尼德普的独角戏
2002,哈利波特与密室,魔法的密室之门已打开
2012,狩猎,人言可畏
2000,一一,我们都曾经是一一
2006,被嫌弃的松子的一生,以戏谑来戏谑戏谑
2013,7号房的礼物,我是山姆的美丽人生
1993,唐伯虎点秋香,华太师是黄霑吴镇宇四大才子之一
2017,请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔
2005,断背山,每个人心中都有一座断背山
1990,剪刀手爱德华,浪漫忧郁的成人童话
1995,勇敢的心,史诗大片的典范
2008,入殓师,死可能是一道门逝去并不是终结而是超越走向下一程
1995,爱在黎明破晓前,缘分是个连绵词最美不过一瞬
1999,第六感,深入内心的恐怖出人意料的结局
1994,重庆森林,寂寞没有期限
2012,蝙蝠侠黑暗骑士崛起,诺兰就是保证
1997,幽灵公主,人与自然的战争史诗
2014,超能陆战队,Balalala
1999,菊次郎的夏天,从没见过那么流氓的温柔从没见过那么温柔的流氓
2004,爱在日落黄昏时,九年后的重逢是世俗和责任的交叠没了悸动和青涩沧桑而温暖
1996,甜蜜蜜,相逢只要一瞬间等待却像是一辈子
2001,天使爱美丽,法式小清新 
1994,阳光灿烂的日子,一场华丽的意淫
2014,小森林夏秋篇,那些静得只能听见呼吸的日子里你明白孤独即生活
1993,完美的世界,坏人的好总是比好人的好来得更感人
2010,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆
2004,无人知晓,我的平常生活就是他人的幸福
2014,消失的爱人,年度最佳date movie
1987,倩女幽魂,两张绝世的脸 
2019,寄生虫,
1995,侧耳倾听,少女情怀总是诗
2015,小森林冬春篇,尊敬他人尊敬你生活的这片土地明白孤独是人生的常态
2013,时空恋旅人,把每天当作最后一天般珍惜度过积极拥抱生活就是幸福
2004,幸福终点站,有时候幸福需要等一等 
2010,驯龙高手,和谐的生活离不开摸头与被摸头
1990,教父3,任何信念的力量都无法改变命运
2011,萤火之森,触不到的恋人
2015,一个叫欧维的男人决定去死,惠及一生的美丽
1997,未麻的部屋,好的剧本是就算你猜到了结局也猜不到全部
